name,schulform,stadt,standorttyp,lat,lon,street,plz
Arndt Gymnasium,Gymnasium,Krefeld,3,51.332,6.556,Dionysiusstraße 51,47798
Fabritianum,Gymnasium,Krefeld,2,51.364,6.637,Am Stadtpark,47829
Fichte-Gymnasium,Gymnasium,Krefeld,5,51.328,6.56,Lindenstraße 52,47798
Horkesgath-Gymnasium,Gymnasium,Krefeld,4,51.337,6.529,Horkesgath 33,47803
Maria-Sibylla-Merian-Gymnasium,Gymnasium,Krefeld,4,51.313,6.584,Johannes-Blum-Straße 101,47807
Marienschule,Gymnasium,Krefeld,3,51.334,6.556,Hubertusstraße 120,47798
Ricarda-Huch-Gymnasium,Gymnasium,Krefeld,4,51.339,6.565,Moerser Str. 36,47798
Stephanusschule,Katholische Hauptschule,Krefeld,4,51.335,6.591,Rote-Kreuz-Straße 25,47800
Von-Ketteler-Schule (geschlossen),Katholische Hauptschule,Krefeld,3,51.355,6.634,Lübecker Weg 56,47829
Albert-Schweitzer-Schule,Realschule,Krefeld,5,51.325,6.556,Lewerentzstraße 162,47798
Edmund-ter-Meer-Schule,Realschule,Krefeld,4,51.35,6.633,Uerdinger Str. 783,47800
Freiherr-vom-Stein-Realschule,Realschule,Krefeld,4,51.313,6.583,Von-Ketteler-Straße 31,47807
Realschule Horkesgath,Realschule,Krefeld,4,51.337,6.529,Horkesgath 33,47803
Realschule Oppum,Realschule,Krefeld,5,51.331,6.606,Schmiedestraße 98,47809
Carl-Fuhlrott-Schule,Hauptschule,Erkrath,4,51.208,6.965,Rankestraße 2,40699
Gymnasium am Neantertal,Gymnasium,Erkrath,2,51.226,6.91,Heinrichstraße 12,40699
Gymnasium Hochdahl,Gymnasium,Erkrath,4,51.209,6.965,Rankestraße 4-6,40699
Realschule Hochdahl,Realschule,Erkrath,4,51.208,6.966,Rankestraße 4,40699
Realschule Erkrath (Karlstraße),Realschule,Erkrath,3,51.208,6.966,Rankestraße 4,40699
Hauptschule Zum Diek,Hauptschule,Haan,4,51.194,7.018,Walder Str. 15,42781
Städtisches Gymnasium Haan (Adlerstraße),Gymnasium,Haan,3,51.196,6.998,Adlerstraße 3,42781
Emil-Barth-Realschule,Realschule,Haan,4,51.193,7.017,Walder Str. 15,42781
Gesamtschule Heiligenhaus (Hülsbecker Straße),Gesamtschule,Heiligenhaus,3,51.322,6.966,Hülsbecker Str. 5,42579
Immanuel-Kant-Gymnasium,Gymnasium,Heiligenhaus,3,51.323,6.972,Herzogstraße 75,42579
"Realschule Heiligenhaus (Nordring, Feldstraße)",Realschule,Heiligenhaus,4,51.331,6.973,Feldstraße 2,42579
Evangelische Gesamtschule Hilden,Gesamtschule,Hilden,3,51.174,6.929,Gerresheimer Str. 74,40721
Theodor-Heuss-Schule (Schule 2016 geschlossen),Hauptschule,Hilden,5,51.184,6.931,Furtwänglerstraße 2,40724
Dietrich-Bonhoeffer-Gymnasium,Gymnasium,Hilden,3,51.173,6.928,Gerresheimer Str. 74,40721
Helmholtz-Gymnasium,Gymnasium,Hilden,3,51.166,6.947,Am Holterhöfchen 30,40724
Theresienschule,Realschule,Hilden,3,51.173,6.928,Gerresheimer Str. 51,40721
Wilhelm-Fabry-Realschule,Realschule,Hilden,5,51.165,6.945,Am Holterhöfchen 26,40724
Marie-Colinet-Sekundarschule Hilden (Am Holterhöfchen),Sekundarschule,Hilden,4,51.165,6.945,Am Holterhöfchen 26,40724
Wilhelmine-Fliedner-Realschule,Realschule,Hilden,3,51.174,6.929,Gerresheimer Str. 74,40721
Bettine-von-Arnim-Gesamtschule,Gesamtschule,Langenfeld,3,51.135,6.948,Hildener Str. 3,40764
Gesamtschule Fahler Weg,Gesamtschule,Langenfeld,4,51.107,6.95,Fröbelstraße 25,40764
Käthe-Kollwitz-Schule,Hauptschule,Langenfeld,4,51.053,6.956,Deichtorstraße 2,51371
Konrad-Adenauer-Gymnasium,Gymnasium,Langenfeld,2,51.112,6.947,Auf dem Sändchen 24,40764
Felix-Metzmacher-Schule,Katholische Hauptschule,Langenfeld,3,51.107,6.95,Metzmacherstraße 9,40764
Johann-Gutenberg-Schule,Realschule,Langenfeld,3,51.106,6.951,Fröbelstraße 19,40764
Kopernikusschule,Realschule,Langenfeld,3,51.12,6.954,Immigrather Str. 61,40764
Anne-Frank-Schule,Hauptschule,Mettmann,4,51.302,6.854,Mülheimer Str. 47,40878
Heinrich-Heine-Gymnasium,Gymnasium,Mettmann,2,51.266,6.964,Hasselbeckstraße 2-4,40822
Konrad-Heresbach-Gymnasium,Gymnasium,Mettmann,2,51.247,6.972,Laubacher Str. 13,40822
Carl-Fuhlrott-Realschule,Realschule,Mettmann,3,51.256,6.969,Goethestraße 33,40822
Peter-Ustinov-Gesamtschule,Gesamtschule,Monheim,4,51.096,6.899,Falkenstraße 8,40789
Anton-Schwarz-Hauptschule (geschlossen),Hauptschule,Monheim,4,51.086,6.897,Erich-Klausener-Straße 3,40789
Otto-Hahn-Gymnasium,Gymnasium,Monheim,4,51.086,6.887,Berliner Ring 7,40789
Lise-Meitner-Schule (geschlossen),Realschule,Monheim,4,51.034,7.0,Am Stadtpark 50,51373
Sekundarschule Monheim (Berliner Ring),Sekundarschule,Monheim,5,51.085,6.888,Berliner Ring 5,40789
Martin-Luther-King-Gesamtschule,Gesamtschule,Ratingen,5,51.292,6.818,Erfurter Str. 36,40880
Elsa-Brandström-Schule,Hauptschule,Ratingen,4,51.343,6.828,Duisburger Str. 112,40885
Carl-Friedrich-von-Weizsäcker-Gymnasium,Gymnasium,Ratingen,2,51.292,6.853,Karl-Mücher-Weg 2,40878
Dietrich-Bonhoeffer-Gymnasium,Gymnasium,Ratingen,4,51.292,6.819,Erfurter Str. 30,40880
Kopernikus-Gymnasium,Gymnasium,Ratingen,2,51.343,6.828,Duisburger Str. 112,40885
Erzbischöfliche Liebfrauen-Realschule,Realschule,Ratingen,2,51.294,6.857,Schwarzbachstraße 17,40878
Friedrich-Ebert-Realschule Ratingen,Realschule,Ratingen,3,51.297,6.842,Philippstraße 30,40878
Käthe-Kollwitz-Schule,Realschule,Ratingen,5,51.293,6.819,Erfurter Str. 40,40880
Christliche Gesamtschule Bleibergquelle,Gesamtschule,Velbert,3,51.34,7.08,Bleibergstraße 133,42551
Gesamtschule Verbert-Mitte,Gesamtschule,Velbert,3,51.334,7.037,Birkenstraße 33A,42549
Hardenbergschule (2016 geschlossen),Hauptschule,Velbert,3,51.305,7.08,Waldschlösschen 37,42553
Martin-Luther-King-Schule,Hauptschule,Velbert,4,51.34,7.052,Grünstraße 35,42551
Geschwister-Scholl-Gymnasium,Gymnasium,Velbert,3,51.342,7.017,Von-Humboldt-Straße 54,42549
Gymnasium Langenberg,Gymnasium,Velbert,1,51.346,7.131,Panner Str. 34,42555
Nikolaus-Ehlen-Gymnasium,Gymnasium,Velbert,2,51.337,7.045,Friedrich-Ebert-Straße 81,42549
Heinrich-Kölver-Schule,Realschule,Velbert,3,51.309,7.075,An der Maikammer 53,42553
Realschule Kastanienallee,Realschule,Velbert,4,51.334,7.044,Kastanienallee 32,42549
Freie Aktive Gesamtschule,Gesamtschule,Wülfrath,3,51.281,7.04,Südstraße 12,42489
Städtisches Gymnasium Wülfrath (Kastanienallee),Gymnasium,Wülfrath,2,51.275,7.029,Kastanienallee 63,42489
Theodor-Heuss-Schule,Realschule,Wülfrath,4,51.285,7.03,Bergstraße 20,42489
Marienschule,Katholische Hauptschule,Essen,4,51.445,7.088,Steeler Bergstraße 8,45276
Hauptschule an der Wächtlererstraße,Hauptschule,Essen,5,51.452,7.025,Wächtlerstraße 37,45139
Hauptschule an der Bischoffstraße,Hauptschule,Essen,5,51.502,7.02,Bischoffstraße 120,45329
Hauptschule Bochold,Hauptschule,Essen,5,51.474,6.966,Jahnstraße 46,45356
Katholische Hauptschule Katernberg,Katholische Hauptschule,Essen,5,51.501,7.048,Termeerhöfe 30A,45327
Helene‐Lange-Realschule,Realschule,Essen,5,51.445,7.073,Joseph-Boismard-Weg 10,45276
Albert‐Einstein-Realschule,Realschule,Essen,3,51.425,7.044,Ardeyplatz,45134
Bertha‐Krupp-Realschule,Realschule,Essen,5,51.452,6.985,Kerckhoffstraße 43,45144
Gertrud‐Bäumer-Realschule,Realschule,Essen,5,51.493,7.007,Grünstraße 54,45326
Bertha‐von‐Suttner-Realschule,Realschule,Essen,5,51.437,7.02,Karolinenstraße 1,45130
Elsa‐Brändström-Realschule,Realschule,Essen,5,51.443,7.039,Bergerhauser Str. 13,45136
Realschule am Stoppenberg,Realschule,Essen,4,51.482,7.035,Im Mühlenbruch 47,45141
Franz‐Dinnendahl‐Realschule,Realschule,Essen,5,51.455,7.068,Schönscheidtstraße 174,45307
Theodor Goldschmidt-Realschule mit Aufbau,Realschule,Essen,5,51.459,7.029,Frillendorfer Str. 42,45139
Realschule am Schloß Borbeck,Realschule,Essen,4,51.469,6.941,Schloßstraße 121,45355
Realschule Essen‐Überruhr,Realschule,Essen,4,51.42,7.083,Überruhrstraße 115,45277
Geschwister‐Scholl-Realschule,Realschule,Essen,5,51.478,6.952,Hülsmannstraße 46,45355
Städtische Realschule (Mülheimer Straße),Realschule,Essen,5,51.444,6.969,Mülheimer Str. 126,45145
Gesamtschule Süd,Gesamtschule,Essen,5,51.424,7.03,Frankenstraße 200,45134
Gesamtschule Bockmühle,Gesamtschule,Essen,5,51.46,6.969,Ohmstraße 32,45143
Gesamtschule Nord,Gesamtschule,Essen,5,51.493,6.986,Förderstraße 60,45356
Gesamtschule Borbeck,Gesamtschule,Essen,3,51.482,6.939,Hansemannstraße 15,45357
Gesamtschule Holsterhausen,Gesamtschule,Essen,3,51.443,6.985,Keplerstraße 58,45147
Gustav‐Heinemann-Gesamtschule,Gesamtschule,Essen,4,51.449,6.903,Boverstraße 150,45473
Frida‐Levy-Gesamtschule,Gesamtschule,Essen,4,51.454,7.018,Varnhorststraße 2,45127
Erich‐Kästner‐Gesamtschule,Gesamtschule,Essen,5,51.452,7.09,Pinxtenweg 6 - 8,45276
Leibniz-Gymnasium,Gymnasium,Essen,5,51.492,7.013,Stankeitstraße 22,45326
B.M.V.-Gymnasium Bardelebenstraße,Gymnasium,Essen,4,51.439,6.996,Bardelebenstraße 9,45147
Goethe-Gymnasium,Gymnasium,Essen,3,51.409,6.99,Ruschenstraße 1,45133
Carl‐Humann-Gymnasium,Gymnasium,Essen,4,51.448,7.071,Laurentiusweg 20,45276
Mariengymnasium Essen-Werden,Gymnasium,Essen,1,51.388,7.009,Brückstraße 108,45239
Gymnasium am Stoppenberg,Gymnasium,Essen,4,51.482,7.034,Im Mühlenbruch 51,45141
Alfred‐Krupp-Gymnasium,Gymnasium,Essen,5,51.45,6.983,Margaretenstraße 40,45144
Gymnasium Essen Werden,Gymnasium,Essen,1,51.388,7.0,Grafenstraße 9,45239
Helmholtz-Gymnasium,Gymnasium,Essen,2,51.437,7.016,Rosastraße 83,45130
Don‐Bosco‐Gymnasium,Gymnasium,Essen,4,51.476,6.961,Theodor-Hartz-Straße 15,45355
Gymnasium Essen-Überruhr,Gymnasium,Essen,3,51.424,7.069,Langenberger Str. 380/394,45277
Viktoria-Gymnasium,Gymnasium,Essen,4,51.451,7.025,Kurfürstenstraße 1,45138
Maria‐Wächtler-Gymnasium,Gymnasium,Essen,2,51.437,7.014,Rosastraße 75,45130
Gymnasium An der Wolfskuhle,Gymnasium,Essen,4,51.451,7.091,Pinxtenweg 6,45276
Grashof-Gymnasium,Gymnasium,Essen,3,51.417,6.988,Grashofstraße 55,45133
UNESCO-Schule Essen/ Aufbaugymnasium,Gymnasium,Essen,5,51.454,7.028,Steinmetzstraße 9,45139
Theodor‐Heuss-Gymnasium,Gymnasium,Essen,1,51.365,6.935,Hauptstraße 148,45219
Mädchengymnasium Borbeck,Gymnasium,Essen,3,51.472,6.946,Fürstäbtissinstraße 52-54,45355
Gymnasium Nord‐Ost,Gymnasium,Essen,5,51.47,7.023,Katzenbruchstraße 79,45141
Burg-Gymnasium,Gymnasium,Essen,5,51.455,7.015,Burgpl. 4,45127
Gymnasium Borbeck (Prinzenstraße),Gymnasium,Essen,4,51.478,6.953,Prinzenstraße 46,45355
Ernst-Eversbusch-Schule,Hauptschule,Hagen,5,51.348,7.429,Berliner Str. 109,58135
Hauptschule Vorhalle (geschlossen),Hauptschule,Hagen,5,51.377,7.425,Vossacker 23,58089
Hauptschule Remberg,Hauptschule,Hagen,5,51.359,7.481,Elbersstiege 10,58095
Hauptschule Geschwister-Scholl,Hauptschule,Hagen,5,51.385,7.469,Kapellenstraße 38,58099
Hauptschule Hohenlimburg,Hauptschule,Hagen,4,51.361,7.565,Wachtelweg 19,58119
Hauptschule Heubing (geschlossen),Hauptschule,Hagen,5,51.352,7.423,Hagen-Heubing,58135
Hauptschule Altenhagen,Hauptschule,Hagen,5,51.361,7.565,Wachtelweg 19,58119
Heinrich-Heine-Schule,Realschule,Hagen,5,51.385,7.469,Kapellenstraße 38,58099
Realschule Halden,Realschule,Hagen,4,51.369,7.494,Lützowstraße 115,58095
Realschule Haspe,Realschule,Hagen,4,51.348,7.431,Kurze Str. 3,58135
"Realschule Emst
",Realschule,Hagen,5,51.369,7.494,Lützowstraße 115,58095
Luise-Rehling-Realschule,Realschule,Hagen,5,51.368,7.466,Friedensstraße 26,58097
Realschule Hohenlimburg,Realschule,Hagen,3,51.363,7.569,Im Kley 32,58119
Gesamtschule Haspe,Gesamtschule,Hagen,3,51.347,7.418,Kirmespl. 2,58135
Fritz-Steinhoff-Gesamtschule,Gesamtschule,Hagen,5,51.397,7.481,Am Bügel 20,58099
Gesamtschule Eilpe,Gesamtschule,Hagen,3,51.34,7.49,Wörthstraße 30,58091
Theodor-Heuss-Gymnasium,Gymnasium,Hagen,3,51.37,7.478,Humpertstraße 19,58097
Hildegardis-Schule,Gymnasium,Hagen,4,51.364,7.476,Funckestraße 41,58097
Chrstian-Rohlfs-Gymnasium,Gymnasium,Hagen,4,51.352,7.424,Ennepeufer 3,58135
Albrecht-Dürer-Gymnnasium,Gymnasium,Hagen,3,51.367,7.484,Heinitzstraße 73A,58097
Gymnasium Hohenlimburg,Gymnasium,Hagen,2,51.363,7.571,Wiesenstraße 27,58119
Ricarda-Huch-Gymnasium,Gymnasium,Hagen,5,51.361,7.475,Voswinckelstraße 1,58095
Fichte-Gymnasium,Gymnasium,Hagen,4,51.356,7.469,Goldbergstraße 20,58095
Martin-Luther-Schule,Hauptschule,Hamm,5,51.708,7.815,Bockelweg 83,59073
Albert-Schweitzer-Schule,Hauptschule,Hamm,5,51.695,7.746,Stefanstraße 33,59075
Karlschule,Hauptschule,Hamm,5,51.694,7.809,Westberger Weg 17,59065
Anne-Frank-Schule,Hauptschule,Hamm,5,51.67,7.778,Frankenstraße 12,59067
Falkschule,Hauptschule,Hamm,5,51.659,7.745,An der Falkschule 9,59077
Erlenbachschule,Hauptschule,Hamm,3,51.675,7.878,Kirchweg 90,59071
Realschule Heesen,Realschule,Hamm,3,51.706,7.836,Jahnstraße 23,59073
Realschule Bockum-Hövel,Realschule,Hamm,5,51.692,7.765,Wernerstraße 9,59075
Marienschule,Realschule,Hamm,3,51.684,7.822,Franziskanerstraße 1,59065
Friedrich-Ebert-Realschule,Realschule,Hamm,5,51.665,7.793,Auf dem Hilkenhohl 1-3,59067
Realschule Mark,Realschule,Hamm,3,51.683,7.855,Marker Dorfstraße 8,59071
Landschulheim Schloss Heesen,Gymnasium,Hamm,3,51.699,7.848,Schloßstraße 1,59073
Galilei-Gymnasium,Gymnasium,Hamm,4,51.69,7.784,Dr.-Voßhage-Straße 1,59065
Beisenkamp-Gymnasium,Gymnasium,Hamm,3,51.672,7.83,Am Beisenkamp 1,59063
Gymnasium Hammonense,Gymnasium,Hamm,4,51.685,7.819,Adenauerallee 2,59065
Märkisches Gymnasium,Gymnasium,Hamm,4,51.664,7.792,Wilhelm-Liebknecht-Straße 11,59067
Freiherr-vom-Stein-Gymnasium,Gymnasium,Hamm,3,51.685,7.885,Karl-Koßmann-Straße 2,59071
Friedensschule,Gesamtschule,Hamm,4,51.681,7.829,Marker Allee 20,59063
Sophie-Scholl-Gesamtschule,Gesamtschule,Hamm,4,51.696,7.747,Stefanstraße 42,59075
Konrad-Adenauer-Realschule,Realschule,Hamm,2,51.645,7.845,Heideweg 4,59069
Josef-Reding-Hauptschule,Hauptschule,Holzwickede,3,51.497,7.626,Opherdicker Str. 44,59439
"Schule ""Am Windmühlenberg""",Hauptschule,Werne,2,51.665,7.632,59368 Werne,Germany
Erich-Kästner-Schule,Hauptschule,Selm,2,51.663,7.47,Waltroper Str. 19,59379
ProfilSchuleLünen,Hauptschule,Lünen,4,51.597,7.445,Friedhofstraße 4,44536
Eintrachthauptschule,Hauptschule,Schwerte,4,51.444,7.554,Holzener Weg 24,58239
Heinrich-Bußmann-Schule,Hauptschule,Lünen,3,51.602,7.527,Bebelstraße 54,44532
Hauptschule Kamen (Am Koppelteich),Hauptschule,Kamen,4,51.589,7.657,Am Koppelteich 16,59174
Pestalozzischule,Hauptschule,Bönen,3,51.595,7.77,Woortstraße 110,59199
Realschule Lünen-Brambauer,Realschule,Lünen,4,51.589,7.443,Brechtener Str. 63,44536
Hellweg-Realschule ,Realschule,Unna,3,51.542,7.653,Königsborner Str. 12,59427
Anne-Frank-Realschule,Realschule,Unna,3,51.547,7.691,Döbelner Str. 3,59425
Realschule Am Bohlgarten (läuft aus),Realschule,Schwerte,2,51.444,7.554,Holzener Weg 22,58239
Ludwig-Uhland-Realschule,Realschule,Lünen,4,51.598,7.556,Preußenstraße 162,44532
Freiherr-vom-Stein-Realschule,Realschule,Bergkamen,3,51.621,7.649,Hochstraße 54,59192
Realschule Oberaden,Realschule,Bergkamen,3,51.611,7.597,Pantenweg 12,59192
Realschule Am Stadtpark (läuft aus),Realschule,Schwerte,3,51.441,7.563,Am Stadtpark 1,58239
Humboldt-Realschule,Realschule,Bönen,3,51.603,7.765,Billy-Montigny-Platz 5,59199
Realschule Altlünen,Realschule,Lünen,3,51.633,7.521,Rudolph-Nagell-Straße 23,44534
Konrad-Adenauer-Realschule,Realschule,Werne,2,51.665,7.632,Bahnhofstraße 1,59368
Fridtjof-Nansen-Realschule ,Realschule,Kamen,3,51.589,7.676,Gutenbergsstr. 2,59174
Otto-Hahn-Realschule,Realschule,Selm,1,51.7,7.472,Südkirchener Str. 16,59379
Peter-Weiss-Gesamtschule Unna,Gesamtschule,Unna,3,51.533,7.696,Herderstraße 16,59423
Gesamtschule Kamen (Gutenbergstraße),Gesamtschule,Kamen,4,51.588,7.678,Gutenbergstraße 2,59174
Werner-von-Siemens-Gesamtschule Königsborn,Gesamtschule,Unna,4,51.548,7.693,Döbelner Str. 7,59425
Willy-Brandt-Gesamtschule,Gesamtschule,Bergkamen,4,51.623,7.649,Am Friedrichsberg 30,59192
Käthe-Kollwitz-Gesamtschule,Gesamtschule,Lünen,5,51.59,7.522,Dammwiese 8,44532
Städtische Gesamtschule Fröndenberg (Im Wiesengrund),Gesamtschule,Fröndenberg,2,51.478,7.772,Wiesengrund 7,58730
Gesamtschule Schwerte (Gänsewinkel),Gesamtschule,Schwerte,2,51.449,7.593,Grünstraße 70,58239
Geschwister-Scholl-Gesamtschule,Gesamtschule,Lünen,5,51.611,7.52,Holtgrevenstraße 2,44532
Gymnasium St. Christophorus,Gymnasium,Werne,1,51.671,7.619,Kardinal-von-Galen-Straße 1,59368
Städtisches Gymnasium Selm (Kreisstraße),Gymnasium,Selm,1,51.695,7.464,Kreisstraße 4,59379
Geschwister-Scholl-Gymnasium,Gymnasium,Unna,2,51.546,7.693,Palaiseaustraße 2,59425
Ernst-Barlach-Gymnasium,Gymnasium,Unna,2,51.531,7.694,Seminarstraße 4,59423
Städtisches Gymnasium Kamen (Hammer Straße),Gymnasium,Kamen,3,51.595,7.667,Hammer Str. 19,59174
Pestalozzi-Gymnasium,Gymnasium,Unna,2,51.535,7.698,Morgenstraße 47,59423
Clara-Schumann-Gymnasium,Gymnasium,Holzwickede,2,51.496,7.626,Opherdicker Str. 44,59439
Städtisches Gymnasium (Hubert-Biernat-Straße),Gymnasium,Bergkamen,3,51.616,7.622,Hubert-Biernat-Straße 1,59192
Ruhrtal-Gymnasium,Gymnasium,Schwerte,2,51.443,7.571,Wittekindstraße 6,58239
Anne-Frank-Gymnasium,Gymnasium,Werne,2,51.67,7.619,Goetheweg 12,59368
Marie-Curie-Gymnasium,Gymnasium,Bönen,1,51.603,7.765,Billy-Montigny-Platz 5,59199
Friedrich-Bährens-Gymnasium,Gymnasium,Schwerte,1,51.446,7.573,Ostberger Str. 17,58239
Gymnasium Altlünen,Gymnasium,Lünen,2,51.632,7.52,Rudolph-Nagell-Straße 21,44534
Freiherr-vom-Stein-Gymnasium,Gymnasium,Lünen,3,51.611,7.516,Friedenstraße 12,44532
Hauptschule Freiligrath,Hauptschule,Witten,4,51.45,7.375,Hamburgstraße 25,58453
Overbergschule,Hauptschule,Witten,4,51.436,7.348,Rhienscher Berg 12,58452
Hauptschule Breckerfeld (Ostring),Hauptschule,Breckerfeld,1,51.261,7.47,Ostring 14,58339
Hauptschule Friedenshöhe,Hauptschule,Ennepetal,3,51.292,7.359,Friedenshöhe 44,58256
Hauptschule Gevelsberg,Hauptschule,Gevelsberg,4,51.324,7.316,Am Hofe 14,58285
Hauptschule Am Sonnenstein (geschlossen),Hauptschule,Herdecke,4,51.417,7.418,Eicklohweg 9,58313
Gustav-Heinemann-Schule,Hauptschule,Schwelm,4,51.285,7.281,Holthausstraße 15,58332
Gemeinschaftshauptschule Niedersprockhövel,Hauptschule,Spröckhövel,2,51.363,7.249,Dresdener Str. 45,45549
Otto-Schott-Realschule,Realschule,Witten,4,51.438,7.343,Am Viehmarkt 5,58452
Adolf-Reichwein-Realschule,Realschule,Witten,4,51.45,7.338,Almstraße 11,58455
St. Jacobus-Schule,Realschule,Breckerfeld,1,51.26,7.472,Wahnscheider Str. 13,58339
Städtische Realschule Ennepetal (Breslauer Platz),Realschule,Ennepetal,2,51.302,7.372,Breslauer Pl. 1,58256
Realschule Alte Geer,Realschule,Gevelsberg,3,51.325,7.339,Alte Geer 4,58285
Realschule Grünstraße,Realschule,Hattingen,3,51.392,7.185,Grünstraße 27-29,45525
Dietrich-Bonhoeffer-Realschule,Realschule,Schwelm,3,51.285,7.304,Ländchenweg 9,58332
Realschule Am Bleichstein,Realschule,Herdecke,3,51.397,7.438,Hengsteyseestraße 25,58313
Helene-Lohmann-Realschule,Realschule,Witten,3,51.418,7.339,Bommerfelder Ring 111,58452
Holzkamp-Gesamtschule,Gesamtschule,Witten,3,51.438,7.373,Willy-Brandt-Straße 2,58453
Hardenstein-Gesamtschule,Gesamtschule,Witten,3,51.415,7.279,An der Wabeck 4,58456
Wilhelm-Kraft-Gesamtschule des Ennepe-Ruhr-Kreises,Gesamtschule,Spröckhövel,4,51.334,7.285,Geschwister-Scholl-Straße 10,45549
Gesamtschule Hattingen (Marxstraße),Gesamtschule,Hattingen,3,51.409,7.218,Marxstraße 99,45527
Georg-Müller-Gesamtschule Wetter,Gesamtschule,Wetter,2,51.354,7.378,Genossenschaftsweg 1B,58300
Schiller-Gymnasium,Gymnasium,Witten,3,51.44,7.334,Breddestraße 8,58452
 Ruhr-Gymnasium,Gymnasium,Witten,3,51.442,7.331,Synagogenstraße 1,58452
Albert-Martmöller-Gymnasium,Gymnasium,Witten,3,51.439,7.341,Oberdorf 9,58452
Reichenbach-Gymnasium ,Gymnasium,Ennepetal,2,51.301,7.36,Peddinghausstraße 17,58256
Gymnasium Gevelsberg,Gymnasium,Gevelsberg,2,51.324,7.315,Ochsenkamp 100,58285
Gymnasium im Schulzentrum Holthausen,Gymnasium,Hattingen,2,51.397,7.204,Lindstockstraße 2,45527
Gymnasium Waldstraße,Gymnasium,Hattingen,2,51.392,7.19,Waldstraße 58,45525
Friedrich-Harkort-Schule,Gymnasium,Herdecke,3,51.396,7.441,Hengsteyseestraße 40,58313
Märkisches Gymnasium,Gymnasium,Schwelm,2,51.281,7.287,Präsidentenstraße 1,58332
Geschwister-Scholl-Gymnasium,Gymnasium,Wetter,2,51.386,7.376,Hoffmann-von-Fallersleben-Straße 28,58300
Geschwister-Scholl-Schule,Hauptschule,Siegen,4,50.908,7.993,Schießbergstraße 111,57078
Haardter-Berg-Schule (Schule geschlossen),Hauptschule,Siegen,4,50.912,8.024,Hölderlinstraße 35,57076
Achenbacher Schule,Hauptschule,Siegen,4,50.872,8.02,Oranienstraße 27,57072
Gemeinschaftliche Sekundarschule Burbach-Neunkirchen (Hauptschule),Hauptschule,Burbach,3,50.743,8.093,Killingstraße 10,57299
Schulzentrum Eicher Seite (Hauptschule),Hauptschule,Freudenberg,1,50.909,7.885,Hermann-Vomhof-Straße,57258
Hauptschule Eichen,Hauptschule,Kreuztal,3,50.979,7.968,Eichener Str. 127,57223
Kopernikusschule,Hauptschule,Neunkirchen,3,50.789,8.023,Kopernikusring 1,57290
Hauptschule Deuz,Hauptschule,Netphen,2,50.886,8.146,Nauholzer Weg 5,57250
Hauptschule Wilnsdorf (Dillenburger Straße),Hauptschule,Wilnsdorf,1,50.84,8.157,Dillenburger Str. 87,57234
Ludwig-zu-Sayn-Wittgenstein-Schule,Hauptschule,Bad Berleburg,1,51.04,8.377,Hermann-Böttger-Weg 7,57319
Rothaarsteig-Schule (geschlossen),Hauptschule,Erndtebrück,1,50.991,8.251,Hachenbergstraße 19,57339
Freie Christliche Schule ,Evangelische Hauptschule,Siegen,1,50.87,8.059,Augärtenstraße 15,57074
Realschule Am Schiessberg,Realschule,Siegen,4,50.909,7.994,Schießbergstraße 103,57078
Realschule Am Oberen Schloss,Realschule,Siegen,4,50.875,8.029,Burgstraße 10-14,57072
Realschule Am Häusling,Realschule,Siegen,2,50.869,8.019,Dr.-Ernst-Straße 19,57074
Gemeinschaftliche Sekundarschule Burbach-Neunkirchen (Realschule),Realschule,Burbach,2,50.743,8.093,Killingstraße 10,57299
Schulzentrum Eicher Seite (Realschule),Realschule,Freudenberg,1,50.909,7.885,Hermann-Vomhof-Straße,57258
Ernst-Moritz-Arndt-Realschule,Realschule,Kreuztal,2,50.964,7.994,Hessengarten 13,57223
Realschule des Freien Grundes,Realschule,Neunkirchen,2,50.788,8.009,Am Kirchweg 1,57290
Realschule Am Kreuzberg,Realschule,Netphen,1,50.919,8.099,Haardtstraße 35,57250
Städtische Realschule Bad Berleburg (Hermann-Böttger-Weg),Realschule,Bad Berleburg,1,51.04,8.378,Hermann-Böttger-Weg 9,57319
Realschule Schloss Wittgenstein,Realschule,Bad Laasphe,1,50.933,8.394,Schloß Wittgenstein 12,57334
Realschule Erndtebrück (Eberfeldstraße),Realschule,Erndtebrück,1,50.988,8.248,Ederfeldstraße 4,57339
Realschule Wilnsdorf,Realschule,Wilnsdorf,2,50.855,8.091,Augraben 9,57234
Freie Christliche Realschule ,Realschule,Freudenberg,1,50.863,7.904,Zum Giebelwald 16,57258
Carl-Kraemer-Realschule,Realschule,Hilchenbach,1,50.977,8.07,Krackertsberg 13,57271
Bertha-von-Suttner-Schule,Gesamtschule,Siegen,2,50.887,8.039,Kolpingstraße 35,57072
Gesamtschule Eiserfeld,Gesamtschule,Siegen,2,50.834,7.999,Talsbachstraße 33,57080
Clara-Schumann-Gesamtschule,Gesamtschule,Kreuztal,3,50.963,7.994,Hessengarten 9,57223
Gymnasium Stift Keppel,Gymnasium,Hilchenbach,1,50.977,8.087,Stift-Keppel-Weg 37,57271
Gymnasium Auf der Morgenröthe,Gymnasium,Siegen,2,50.848,7.983,Höllenwaldstraße 100,57080
Evangelisches Gymnasium Weidenau,Gymnasium,Siegen,2,50.899,8.022,Im Tiergarten 5-7,57076
